"receiver_player_id","receiver_player_name","posteam","targets","receptions","rec_yards","rec_tds","epa_per_target","yards_per_reception","first_downs","catch_rate","yards_per_target","team_color"
"00-0036555","C.Hubbard","CAR",39,30,223,3,0.117434735257387,5.71794871794872,12,0.769230769230769,5.71794871794872,"#0085CA"
"00-0033858","J.Smith","PIT",55,38,222,2,0.0098492265993533,4.03636363636364,11,0.690909090909091,4.03636363636364,"#000000"
"00-0032211","T.Lockett","LV",35,22,221,1,0.0619005151341861,6.31428571428571,11,0.628571428571429,6.31428571428571,"#000000"
"00-0040734","T.Henderson","NE",42,35,221,1,0.0637849577259344,5.26190476190476,8,0.833333333333333,5.26190476190476,"#002244"
"00-0037256","R.White","TB",45,40,218,0,-0.0402551502208896,4.84444444444444,11,0.888888888888889,4.84444444444444,"#A71930"
"00-0039074","D.Allen","LA",33,24,208,3,0.163818499764823,6.3030303030303,12,0.727272727272727,6.3030303030303,"#003594"
"00-0040583","W.Marks","HOU",36,24,208,3,0.200823483111305,5.77777777777778,7,0.666666666666667,5.77777777777778,"#03202F"
"00-0040715","C.Skattebo","NYG",32,24,207,2,0.104630179508604,6.46875,11,0.75,6.46875,"#0B2265"
"00-0035261","T.Pollard","TEN",41,33,206,1,-0.288467601932115,5.02439024390244,11,0.804878048780488,5.02439024390244,"#002244"
"00-0035500","G.Dortch","ARI",33,29,206,3,0.128820639685865,6.24242424242424,11,0.878787878787879,6.24242424242424,"#97233F"
"00-0037666","J.Tolbert","DAL",35,18,205,1,0.140315197764979,5.8,12,0.514285714285714,5.85714285714286,"#002244"
"00-0033293","A.Jones","MIN",41,28,199,1,-0.184164179134207,4.85365853658537,9,0.682926829268293,4.85365853658537,"#4F2683"
"00-0033955","J.McNichols","WAS",32,25,196,1,-0.0357984815301712,6.125,11,0.78125,6.125,"#5A1414"
"00-0039451","I.Williams","NYJ",36,26,193,0,0.032813176288904,5.36111111111111,10,0.722222222222222,5.36111111111111,"#003F2D"
"00-0040666","O.Hampton","LAC",35,32,192,1,-0.0168986366712488,5.48571428571429,7,0.914285714285714,5.48571428571429,"#007BC7"
"00-0035359","D.Sills","ATL",36,18,191,2,-0.0494453138932521,5.30555555555556,9,0.5,5.30555555555556,"#A71930"
"00-0039356","J.Sanders","CAR",34,29,190,1,0.129911611951811,5.58823529411765,8,0.852941176470588,5.58823529411765,"#0085CA"
"00-0033906","A.Kamara","NO",39,33,186,0,-0.299275136638115,4.76923076923077,8,0.846153846153846,4.76923076923077,"#D3BC8D"
"00-0036637","N.Gray","KC",38,21,178,0,-0.180376833312052,4.68421052631579,9,0.552631578947368,4.68421052631579,"#E31837"
"00-0040078","B.Smith","KC",35,25,172,1,-0.0176286727586228,4.91428571428571,7,0.714285714285714,4.91428571428571,"#E31837"
"00-0040784","Q.Judkins","CLE",36,26,171,0,-0.202554917734233,4.75,7,0.722222222222222,4.75,"#FF3C00"
"00-0040236","K.Monangai","CHI",30,18,164,0,-0.242232931539637,5.46666666666667,8,0.6,5.46666666666667,"#0B162A"
"00-0037157","Z.Knight","ARI",31,22,160,1,0.0453118503848541,5.16129032258065,10,0.709677419354839,5.16129032258065,"#97233F"
"00-0037085","T.Badie","DEN",31,19,141,0,0.039468729104466,4.54838709677419,9,0.612903225806452,4.54838709677419,"#002244"
"00-0036997","J.Williams","DAL",51,35,137,2,-0.445828806963502,2.68627450980392,7,0.686274509803922,2.68627450980392,"#002244"
"00-0040581","D.Thornton","LV",30,10,135,0,-0.401277590470885,4.5,7,0.333333333333333,4.5,"#000000"
"00-0037267","J.Ford","CLE",32,26,103,0,-0.174610796908781,3.21875,5,0.8125,3.21875,"#FF3C00"
